Food_Category,Temperature_C,Humidity_%,Storage_Days,Packaging,Moisture_%,pH,Refrigerated,Transport_Hours,Risk
Dairy,27.4,84,51,Good,86.1,7.1,Yes,17,Caution
Meat,18.8,62,47,Damaged,68.1,4.4,Yes,4,Reject
Fruits,3,90,5,Damaged,26.2,3.6,No,3,Caution
Grains,18.8,40,11,Average,89.6,4.2,No,12,Caution
Meat,8.8,94,51,Good,16,6.9,No,12,Reject
Grains,20.3,70,10,Good,15.8,6.5,No,8,Caution
Vegetables,1.4,54,35,Good,36.6,4.6,No,23,Caution
Grains,28.1,43,60,Good,44.8,3.5,No,14,Caution
Fruits,32,60,14,Average,77.4,3.3,Yes,23,Caution
Meat,13.3,47,46,Average,64.1,7.2,Yes,21,Caution
Dairy,14.2,44,8,Damaged,13.1,5.6,Yes,11,Caution
Meat,33.7,49,17,Average,53.8,4.5,No,22,Reject
Fruits,27.8,63,54,Good,41.4,5.8,Yes,21,Caution
Fruits,16.5,78,43,Good,70.5,5.6,No,24,Reject
Fruits,6.3,90,16,Average,76.6,6.9,Yes,11,Caution
Dairy,20.8,52,31,Good,79.9,5.3,Yes,1,Caution
Fruits,15.9,95,46,Good,42,3.4,Yes,3,Caution
Vegetables,23.8,46,15,Average,78.7,5.7,Yes,12,Caution
Dairy,6.2,61,17,Good,15.1,3.2,No,18,Caution
Fruits,32,43,54,Good,23.7,4.5,Yes,21,Caution
Dairy,20.1,89,47,Good,43.8,3.3,Yes,2,Caution
Fruits,34.8,62,17,Good,82.5,6.2,Yes,22,Caution
Vegetables,20.9,82,44,Good,35.3,6.2,No,11,Reject
Vegetables,14.8,60,18,Average,51.3,7,Yes,23,Caution
Grains,18.4,44,6,Average,72.7,4.1,No,11,Caution
Meat,22.7,75,40,Good,56.5,6.9,No,24,Reject
Vegetables,0.5,71,31,Damaged,81.8,3.4,Yes,21,Caution
Grains,7.6,90,6,Average,57.6,3.5,No,9,Safe
Grains,26.5,56,38,Damaged,36.6,5.3,No,4,Reject
Meat,7.7,81,39,Average,76.6,4.2,No,7,Caution
Dairy,22.4,80,51,Good,10.4,6.8,Yes,21,Caution
Vegetables,17.3,48,29,Average,20.8,4.6,Yes,8,Caution
Grains,29,52,47,Good,46,5.8,No,8,Caution
Grains,1.7,67,26,Average,17.8,4.4,No,7,Caution
Grains,15.7,53,55,Average,76.5,3.8,No,24,Reject
Meat,14.1,51,53,Average,12.5,4.7,Yes,2,Caution
Dairy,26,79,50,Good,10.9,5.8,Yes,5,Caution
Fruits,28.7,48,34,Good,45.1,4.2,Yes,14,Caution
Grains,17.2,52,48,Good,9.1,6.1,No,17,Caution
Vegetables,24.9,64,40,Good,41.3,5.3,Yes,16,Caution
Meat,1.3,94,20,Good,29,4.2,No,14,Reject
Dairy,5.6,86,7,Average,28.9,5.3,Yes,5,Safe
Dairy,20.2,77,25,Good,10.4,6.1,No,12,Reject
Grains,10.7,47,28,Good,89.4,6.9,No,3,Caution
Grains,26.3,74,44,Good,64.6,3.5,No,6,Caution
Grains,15.9,72,19,Average,83.6,4.5,No,20,Reject
Fruits,9,46,9,Good,29.8,5.8,Yes,16,Caution
Vegetables,18.5,94,53,Average,67.2,5.7,Yes,9,Reject
Meat,28.1,71,45,Good,68.5,7,No,14,Reject
Dairy,22.9,68,13,Good,34.3,5.7,Yes,21,Caution
Dairy,0.2,52,3,Damaged,76.7,4.4,No,6,Caution
Grains,13.7,70,6,Good,52.9,3.9,No,15,Safe
Fruits,21.2,92,32,Good,80.2,3.8,Yes,1,Caution
Vegetables,12.7,69,52,Average,43.3,6.9,No,23,Reject
Vegetables,29.5,57,25,Good,41.7,5.5,Yes,10,Caution
Grains,2.8,75,31,Good,38.7,6.3,No,4,Safe
Vegetables,33.5,50,29,Average,58.6,5.3,Yes,4,Caution
Meat,19.1,94,2,Damaged,35.6,6.6,No,23,Reject
Grains,5.8,79,56,Average,14,6.9,No,22,Caution
Vegetables,1.7,92,2,Good,46,6.7,No,16,Caution
Grains,1.6,89,58,Damaged,58.3,3.6,No,16,Reject
Grains,4,93,23,Average,27.2,4.7,No,7,Caution
Fruits,23.9,79,46,Damaged,72.5,4.9,No,8,Reject
Fruits,25.1,49,21,Average,87.2,4.1,No,21,Reject
Vegetables,25.9,52,59,Good,64.8,5,Yes,22,Caution
Dairy,14.3,58,5,Good,17.4,3.4,Yes,1,Safe
Grains,8.5,43,21,Average,57.9,4.5,No,20,Caution
Meat,27.2,70,41,Good,34.9,6.1,Yes,4,Caution
Vegetables,6,44,42,Good,19.7,3.3,Yes,10,Safe
Fruits,24.5,54,56,Damaged,60.6,4.9,No,11,Reject
Meat,17.9,44,51,Good,81.6,5.6,No,1,Reject
Grains,8.2,95,38,Damaged,54.3,6.3,No,6,Reject
Dairy,14.9,60,12,Damaged,11,5.1,No,24,Reject
Fruits,3.4,62,14,Damaged,22,5.8,No,13,Reject
Dairy,0.1,86,60,Good,51.4,6.1,No,7,Caution
Vegetables,25.9,49,28,Good,86,3.6,No,19,Reject
Dairy,6.7,59,20,Good,41.5,6.5,No,6,Caution
Dairy,13.2,95,47,Good,48.4,6.5,Yes,20,Caution
Dairy,26.4,83,10,Good,79.8,3.5,Yes,12,Caution
Fruits,12.8,54,60,Good,53.9,6.6,Yes,13,Caution
Dairy,20.6,94,28,Good,27.3,4.4,No,6,Reject
Dairy,29.5,45,53,Good,20.6,4.8,Yes,14,Caution
Fruits,34.9,58,33,Good,13.8,7.1,No,4,Reject
Grains,14.5,84,19,Average,79.9,7.1,No,5,Caution
Grains,29.8,49,32,Good,14.5,6.5,No,13,Caution
Meat,31.3,69,10,Good,75.7,4.1,No,4,Caution
Fruits,29.2,75,21,Good,83.2,4.6,Yes,11,Caution
Meat,24,46,15,Good,51.1,4.9,Yes,11,Caution
Vegetables,33.7,49,23,Average,63.7,3.8,Yes,12,Reject
Grains,13.6,72,33,Average,75.4,4.9,No,13,Caution
Dairy,0.1,71,59,Good,88.4,6.4,Yes,24,Caution
Fruits,25.9,88,40,Damaged,41.6,6.5,No,3,Reject
Grains,17.4,80,35,Good,54.2,3.9,No,6,Caution
Meat,3.6,92,1,Good,40.3,3.7,Yes,3,Safe
Dairy,27,88,22,Good,81.2,6.7,Yes,12,Reject
Dairy,27.5,79,21,Damaged,61.7,4.1,Yes,22,Reject
Grains,29.6,90,20,Average,57.5,4.2,No,6,Reject
Dairy,26.6,52,10,Damaged,70.3,4.7,Yes,3,Caution
Fruits,10,67,34,Good,32,6.6,No,11,Reject
Meat,12.5,71,4,Damaged,12.4,3.3,No,24,Reject
Dairy,21.8,43,20,Good,43.7,5.7,Yes,13,Caution
Dairy,22.3,48,54,Damaged,58.5,5.9,Yes,1,Reject
Fruits,32.4,75,12,Good,33.8,5.6,No,12,Reject
Fruits,28.6,93,8,Average,73.2,3.7,Yes,11,Reject
Fruits,7.5,71,7,Good,89.5,5.1,No,21,Caution
Dairy,12.8,65,37,Average,24.9,4.3,No,5,Reject
Vegetables,15.1,46,56,Average,66,6.1,Yes,23,Reject
Fruits,15.8,52,2,Average,51.3,7.2,Yes,3,Caution
Vegetables,14.6,76,21,Good,75.5,3.9,No,15,Reject
Dairy,22.5,95,30,Good,43.5,6.6,Yes,21,Reject
Meat,10.8,43,48,Damaged,74.3,3.7,Yes,8,Caution
Grains,11.8,88,60,Average,59.7,4.8,No,1,Caution
Fruits,4.8,55,54,Average,51.4,6.7,Yes,4,Caution
Dairy,32,49,35,Good,14.7,6,Yes,14,Caution
Grains,19.1,89,52,Good,81.3,5.9,No,15,Reject
Vegetables,26.7,52,13,Average,48.3,4.1,Yes,8,Caution
Meat,17.2,53,33,Good,65.3,5.1,Yes,5,Caution
Grains,29.7,87,34,Damaged,47.5,6.6,No,11,Reject
Dairy,13.4,55,29,Good,55.4,6.5,Yes,4,Caution
Fruits,11.5,78,25,Good,28.1,5.5,No,19,Reject
Fruits,27.9,59,6,Good,40.9,6.5,Yes,16,Caution
Dairy,24.5,66,58,Average,71,5.6,No,22,Reject
Fruits,27.2,60,46,Good,66.1,5.7,Yes,20,Caution
Fruits,31.1,87,9,Average,36.7,6,No,9,Reject
Vegetables,2.8,55,34,Damaged,65.1,5.5,Yes,19,Caution
Dairy,32.4,49,46,Good,31.1,5.3,No,21,Reject
Meat,19.5,43,23,Good,34.5,4.9,No,13,Reject
Dairy,28.3,54,39,Average,40.7,7.1,No,23,Reject
Meat,5.5,69,34,Average,9.9,3.7,Yes,11,Caution
Dairy,6.8,72,3,Good,80.1,4.3,No,24,Caution
Meat,34.9,68,36,Damaged,45.7,5.8,Yes,14,Reject
Dairy,21.8,48,20,Good,9.9,5,Yes,13,Caution
Fruits,7.1,54,44,Good,59.1,5.2,Yes,5,Safe
Grains,31.7,56,1,Good,35.3,4.3,No,22,Caution
Grains,12.9,46,4,Average,38.5,4.8,No,9,Safe
Grains,6,48,12,Good,68.1,3.7,No,16,Safe
Dairy,18.3,66,10,Good,44.3,6.9,Yes,6,Caution
Fruits,8.3,87,60,Damaged,66.2,4.8,Yes,13,Reject
Dairy,33.4,75,31,Good,69.8,6.1,No,13,Reject
Fruits,30.1,83,7,Good,27.9,5.9,No,5,Caution
Dairy,25,81,38,Good,69.9,4.7,Yes,11,Caution
Vegetables,34,74,41,Damaged,65.4,4.3,No,20,Reject
Dairy,24.5,44,17,Good,73.3,4.9,Yes,12,Caution
Vegetables,16.7,47,11,Average,16.2,3.7,Yes,17,Caution
Dairy,20.3,73,24,Good,35.3,3.3,Yes,17,Caution
Dairy,14.2,55,14,Good,45.5,7,Yes,22,Caution
Vegetables,12.6,71,24,Good,29.4,6.5,Yes,13,Caution
Grains,22,43,23,Good,61,5.3,No,19,Caution
Meat,8.7,64,14,Good,39.9,6,No,23,Caution
Fruits,33.9,65,58,Good,46,6,Yes,9,Caution
Fruits,31.9,47,40,Damaged,88.2,6.5,No,2,Reject
Grains,9.4,82,42,Average,45.9,7.1,No,24,Caution
Fruits,23.2,65,10,Average,59.9,6.8,No,7,Reject
Vegetables,27.6,56,57,Good,34.6,4,No,14,Reject
Vegetables,0.9,54,13,Damaged,12.8,5.6,Yes,24,Caution
Vegetables,11.3,54,10,Good,89.2,7.1,Yes,7,Safe
Vegetables,11.9,93,18,Good,15.5,6.6,Yes,8,Caution
Grains,11.9,81,53,Good,61.3,5.9,No,5,Caution
Fruits,13.7,90,2,Average,12.1,4.5,Yes,5,Caution
Fruits,23.5,74,36,Good,55.3,3.3,No,19,Reject
Vegetables,24.3,90,7,Good,31,5.3,Yes,22,Caution
Vegetables,29.1,48,12,Average,12.7,4.9,No,1,Reject
Vegetables,14.9,88,54,Good,58,6.5,Yes,8,Caution
Fruits,1.4,81,2,Good,35.5,6.5,Yes,20,Safe
Fruits,15.4,68,4,Good,37.7,5.7,No,22,Caution
Meat,19.6,67,58,Good,33.4,6.9,Yes,4,Caution
Meat,34.9,87,29,Average,12.5,6.3,Yes,3,Reject
Meat,29.7,73,46,Good,18.6,5,Yes,6,Caution
Meat,8.3,85,19,Damaged,59.2,6.6,Yes,18,Reject
Dairy,19.6,45,20,Good,11.1,6.4,Yes,10,Caution
Grains,31.5,50,7,Average,27.6,4.1,No,5,Caution
Dairy,31.5,93,57,Average,57.3,4,Yes,2,Reject
Vegetables,7.7,57,29,Damaged,63.9,5.1,No,19,Reject
Fruits,28.2,62,17,Average,21.6,5.7,Yes,16,Reject
Dairy,18,88,59,Good,37.7,6,Yes,15,Reject
Vegetables,32,66,26,Good,58.4,4.3,Yes,10,Caution
Meat,5.5,76,38,Good,55.9,3.2,Yes,7,Safe
Fruits,32.5,46,12,Damaged,30.8,6.1,Yes,8,Caution
Fruits,2.5,45,10,Average,40.3,5,Yes,15,Caution
Grains,16.4,71,41,Damaged,75.1,3.2,No,3,Reject
Dairy,27.2,64,15,Good,81.4,3.3,Yes,19,Caution
Fruits,0.2,53,36,Good,55.7,5.7,Yes,22,Caution
Fruits,24.2,54,45,Damaged,84.9,5.6,Yes,1,Reject
Dairy,6.1,55,29,Good,61.4,6.2,No,14,Caution
Meat,7.4,90,27,Average,59,4.2,No,23,Reject
Grains,34.6,49,38,Average,37.3,3.3,No,9,Caution
Meat,2.7,87,6,Good,76.5,6.6,No,4,Caution
Vegetables,2.8,62,6,Average,9.8,3.8,No,9,Caution
Vegetables,31.6,89,12,Average,55.8,7.1,No,6,Reject
Fruits,25,73,20,Average,11,6.7,Yes,4,Caution
Dairy,9.8,60,7,Damaged,64.2,4.4,Yes,7,Caution
Vegetables,30.9,42,22,Average,10.1,6.9,No,1,Reject
Vegetables,8.7,63,27,Average,10.4,5.8,Yes,3,Caution
Grains,20.8,74,15,Good,64.2,3.3,No,14,Caution
Dairy,27.2,86,16,Good,45.5,6.7,Yes,6,Caution
Vegetables,24.3,52,19,Good,80.6,4.2,No,1,Reject
Fruits,3.5,92,2,Good,62.7,3.9,Yes,21,Safe
Grains,11.3,73,25,Good,80.9,5.1,No,11,Caution
Grains,29.2,86,16,Average,62.5,6.5,No,14,Reject
Meat,3.5,85,43,Average,11.8,5.6,Yes,10,Caution
Dairy,27.7,83,16,Average,82,4.3,Yes,21,Reject
Dairy,29.6,60,16,Good,45.1,5.1,Yes,16,Caution
Fruits,16.9,92,20,Good,30.4,7,No,2,Reject
Grains,26.4,75,58,Good,9.6,4.8,No,7,Caution
Meat,9.7,82,10,Good,14.7,6,No,5,Caution
Grains,5.4,54,28,Good,39.5,3.3,No,24,Caution
Fruits,23.9,62,24,Good,32.3,6.9,Yes,15,Caution
Fruits,6.4,41,22,Average,35.2,3.8,Yes,4,Caution
Fruits,4.9,92,14,Good,86.2,3.6,Yes,22,Caution
Fruits,33,92,50,Good,84,6,Yes,4,Caution
Dairy,31.4,78,5,Good,52.9,5.9,Yes,1,Safe
Grains,11.8,40,5,Good,35.9,5.5,No,18,Safe
Dairy,22.3,92,34,Good,64.4,3.5,Yes,10,Caution
Vegetables,19.4,58,4,Good,21.1,6.8,No,7,Caution
Vegetables,24.9,68,5,Good,73,4.5,Yes,18,Caution
Meat,20,75,10,Good,46.6,5.9,Yes,11,Caution
Grains,2.5,64,10,Good,66.3,6.3,No,21,Safe
Vegetables,19.4,44,49,Good,9.6,3.8,No,21,Reject
Grains,25.3,73,34,Good,81.8,6.5,No,16,Caution
Dairy,24.7,64,7,Good,11.3,7.1,Yes,16,Caution
Meat,3.3,49,6,Good,46,3.4,No,12,Caution
Fruits,15.5,58,18,Average,10.1,7,No,10,Reject
Grains,8,67,29,Good,67.5,5.6,No,6,Safe
Meat,9.2,66,23,Good,65.4,6,Yes,2,Caution
Vegetables,3.3,80,59,Good,65,5.1,No,16,Caution
Meat,23,78,44,Average,25.3,6.3,Yes,24,Reject
Grains,16.6,95,6,Damaged,80.1,5.1,No,8,Caution
Grains,31.9,43,58,Damaged,42.6,4,No,16,Reject
Fruits,27.9,91,41,Average,75.9,6,No,16,Reject
Meat,11.4,55,49,Good,48.8,6.1,No,24,Reject
Vegetables,14.9,53,10,Good,64.8,4.1,Yes,17,Caution
Grains,33.8,85,47,Average,46.9,5.3,No,22,Reject
Grains,21.2,69,13,Average,85.5,7.1,No,24,Caution
Fruits,22.8,91,22,Good,73.8,3.7,No,21,Reject
Dairy,21.1,69,58,Damaged,49.3,7.1,No,21,Reject
Dairy,12.8,47,21,Good,78.8,5.3,Yes,13,Caution
Meat,13.6,82,60,Damaged,41.6,5.8,Yes,4,Caution
Dairy,9.2,56,4,Good,41.6,4.2,No,18,Caution
Grains,29.6,70,13,Good,59.2,3.4,No,16,Caution
Fruits,2,62,59,Average,78.4,6.7,Yes,13,Caution
Grains,0.5,75,52,Good,82.9,5.8,No,8,Safe
Fruits,26.9,94,60,Average,21.1,7,No,21,Reject
Vegetables,18.1,84,48,Good,33.3,3.6,Yes,7,Caution
Grains,17.7,44,15,Good,27.6,6.9,No,17,Caution
Fruits,5.5,75,37,Good,78,6.6,Yes,17,Caution
Fruits,2.4,62,22,Damaged,15.9,4.9,Yes,7,Caution
Dairy,32.9,90,24,Average,16.8,3.8,Yes,13,Reject
Fruits,11.9,72,12,Good,76,6.5,Yes,19,Caution
Fruits,11,74,36,Good,20.4,3.8,Yes,10,Caution
Grains,24.2,70,59,Good,59.1,4.3,No,15,Caution
Vegetables,13.5,56,59,Damaged,89.7,5.5,No,7,Reject
Fruits,0.3,44,22,Good,76.6,5.8,Yes,3,Safe
Meat,14.3,70,41,Good,52.5,4,Yes,16,Caution
Fruits,24.6,77,9,Good,36.5,6.8,No,14,Reject
Grains,10.6,66,8,Good,77.8,7.2,No,14,Caution
Grains,1.4,88,26,Damaged,30.4,3.5,No,7,Caution
Dairy,8.5,94,31,Good,38.7,6.5,Yes,24,Caution
Dairy,14.5,61,5,Good,25.3,5.1,No,1,Caution
Grains,31.2,54,16,Damaged,20.5,3.9,No,2,Reject
Grains,25.7,54,3,Average,37.5,4.5,No,17,Caution
Grains,4,58,15,Good,87.1,6.8,No,13,Safe
Fruits,15.4,45,31,Good,14,3.8,Yes,4,Caution
Grains,32.9,71,44,Good,85.8,5.4,No,12,Caution
Fruits,25.4,44,9,Damaged,43.5,4.1,No,8,Reject
Grains,3.9,81,19,Good,70.2,4.4,No,10,Safe
Grains,3.4,84,23,Good,64.4,5.2,No,8,Safe
Grains,24,62,15,Good,36.6,4.7,No,16,Caution
Meat,21.1,75,4,Good,9.2,3.4,Yes,8,Safe
Vegetables,13.5,48,17,Damaged,22.7,4.5,No,12,Reject
Meat,20.8,43,42,Damaged,30,3.2,Yes,9,Reject
Fruits,34.8,58,39,Good,19.2,6.8,Yes,14,Caution
Meat,12.9,44,9,Good,65.3,4.5,Yes,19,Caution
Meat,19,59,9,Average,24.5,6.1,Yes,20,Caution
Meat,17.3,56,14,Good,48.3,3.4,No,5,Caution
Vegetables,13.6,40,25,Damaged,42.1,5.5,Yes,5,Caution
Meat,3.4,76,15,Good,56.9,3.6,No,5,Caution
Dairy,9.4,52,18,Average,32.5,4.8,No,18,Reject
Meat,9.7,60,28,Average,16.7,4.8,Yes,16,Caution
Dairy,33.1,59,1,Average,65.9,4.1,No,18,Reject
Vegetables,12.2,45,49,Damaged,12.3,4.1,Yes,13,Reject
Fruits,0.4,49,55,Good,13.9,4.7,No,2,Caution
Vegetables,29.1,52,44,Damaged,9.5,3.7,Yes,8,Reject
Vegetables,10.3,64,17,Average,21.7,3.3,Yes,13,Caution
Grains,2.9,51,6,Good,87.2,6.8,No,23,Safe
Meat,31.3,42,25,Good,66,6.3,No,7,Reject
Fruits,12.7,95,22,Good,89.6,5,Yes,12,Caution
Dairy,5,72,46,Good,81.9,6.6,Yes,11,Caution
Meat,23.5,56,56,Good,20.9,4.2,Yes,3,Caution
Vegetables,27.1,80,50,Average,42.1,4.3,No,13,Reject
Vegetables,23.5,58,42,Damaged,60.9,6.1,Yes,24,Reject
Meat,8.4,72,22,Damaged,20.9,4.2,Yes,12,Reject
Dairy,29.6,77,16,Good,17.2,3.4,No,7,Reject
Grains,24.8,75,25,Good,41,5.8,No,10,Caution
Grains,17.9,54,43,Average,45,4.8,No,19,Reject
Dairy,12.6,90,16,Good,87.8,6.8,Yes,18,Caution
Vegetables,16.8,55,17,Good,44.4,5.5,Yes,14,Caution
Dairy,2.9,43,8,Damaged,12.3,7,Yes,12,Caution
Fruits,2.6,57,1,Good,30.8,7,Yes,8,Safe
Vegetables,34.7,47,20,Good,18.4,4.3,Yes,1,Caution
Vegetables,18,56,45,Good,59,3.5,No,14,Reject
Dairy,13.2,64,18,Good,61,6.1,Yes,21,Caution
Fruits,27.9,72,17,Good,22.4,6.1,Yes,1,Caution
Dairy,15.9,57,52,Good,59.7,5.9,Yes,9,Caution
Vegetables,21.5,76,56,Average,51,3.4,No,14,Reject
Fruits,29.6,48,6,Good,65.8,3.7,Yes,13,Caution
Fruits,17.4,43,60,Good,48.6,6.7,Yes,15,Caution
Dairy,27.9,62,3,Good,53.4,6.8,Yes,21,Caution
Vegetables,6.7,74,52,Damaged,61,5.4,Yes,18,Caution
Meat,1.8,76,44,Damaged,52.6,4.2,Yes,24,Caution
Meat,6.6,80,53,Damaged,65.6,6,No,10,Reject
Meat,9.6,82,37,Good,66.9,5.8,No,7,Caution
Dairy,30.4,71,34,Good,70.4,4.7,Yes,6,Caution
Dairy,5.9,55,28,Good,84.9,7.1,Yes,10,Safe
Grains,4.6,47,52,Average,32.5,4.4,No,6,Caution
Dairy,23.1,70,2,Average,72,5.5,No,16,Reject
Vegetables,24.3,61,33,Good,70,6.9,No,7,Reject
Fruits,5.5,69,35,Average,32.5,4.2,Yes,2,Caution
Grains,2.5,63,12,Damaged,16.2,5.6,No,6,Caution
Meat,18.3,83,15,Good,87.5,5.7,Yes,2,Caution
Fruits,32.5,91,35,Average,19.8,4.7,Yes,2,Reject
Fruits,14.9,73,37,Damaged,44.3,6.5,Yes,3,Caution
Meat,14.8,42,36,Good,12.3,4.6,Yes,16,Caution
Dairy,33.6,51,52,Good,11,6.2,Yes,4,Caution
Grains,22.3,69,19,Good,43.4,4.1,No,3,Caution
Fruits,16.6,95,25,Good,16.3,5.3,Yes,2,Caution
Dairy,16.5,61,32,Good,58.9,4.8,Yes,15,Caution
Vegetables,32.3,88,53,Damaged,34.8,4.4,No,4,Reject
Fruits,27.4,51,48,Good,77.8,3.6,Yes,10,Caution
Fruits,25.2,54,6,Good,72.7,3.4,Yes,3,Safe
Meat,4.6,69,41,Good,34.6,3.9,Yes,17,Caution
Vegetables,28.9,59,6,Damaged,86.4,4.4,Yes,15,Caution
Fruits,10.9,89,2,Good,62.3,4.7,Yes,4,Safe
Meat,4.9,75,37,Good,26.7,3.5,Yes,9,Safe
Grains,0.6,62,40,Good,57.9,3.4,No,13,Caution
Dairy,0.2,50,22,Damaged,21.9,3.5,Yes,8,Caution
Vegetables,23.5,62,34,Good,41.2,3.9,No,1,Reject
Meat,0,45,34,Average,18.7,3.7,No,15,Reject
Vegetables,11.9,82,54,Damaged,48.6,5.2,No,1,Reject
Meat,31,47,23,Good,25,6.7,No,15,Reject
Vegetables,0.8,95,34,Good,38,4.8,Yes,4,Caution
Dairy,18.4,56,11,Good,34.3,5.4,Yes,8,Caution
Grains,3.2,86,14,Good,17.4,3.4,No,13,Caution
Dairy,31.6,48,6,Damaged,69.6,4.3,Yes,12,Caution
Meat,28.6,69,36,Good,31.8,7,No,15,Reject
Grains,13.3,67,44,Good,87.8,5.8,No,11,Caution
Vegetables,7.8,40,3,Good,27.8,6.1,Yes,10,Safe
Grains,20.2,80,57,Good,59.2,5.1,No,15,Caution
